title,company,company_id,job_id,area,country,w_type,posted,applicants,role,level,employees,industry,recr,additional_info,description,hiringteam
Quality Systems Engineer.,Lucid Motors,1684122,3181048335," Jeddah, Makkah", Saudi Arabia ,On-site,23-07-22,54,Full-time,,"1,001-5,000  · motor vehicle",Manufacturing,No,"1,001-5,000 employees · Motor Vehicle Manufacturing","Leading the future in luxury electric and mobility

At Lucid, we set out to introduce the most captivating, luxury electric vehicles that elevate the human experience and transcend the perceived limitations of space, performance, and intelligence. Vehicles that are intuitive, liberating, and designed for the future of mobility.

We plan to lead in this new era of luxury electric by returning to the fundamentals of great design – where every decision we make is in service of the individual and environment. Because when you are no longer bound by convention, you are free to define your own experience.

Come work alongside some of the most accomplished minds in the industry. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.

We’re hiring a Quality Systems Engineer. This role is a unique opportunity to make a significant impact to data quality and product quality.

Our ideal candidate exhibits a can-do attitude and approaches his or her work with vigor and determination. Candidates will be expected to demonstrate excellence in their respective fields, to possess the ability to learn quickly and to strive for perfection.

Responsibilities

Develop and implement the ISO/IATF Quality Management System.
Deploy QMS and train and coach employees.
Support QMS alignment with other company programs and management systems.
Author, review, or revise QMS relevant controlled documents.
Leads document formatting reviews and remediation to ensure compliance with the style and submission-readiness requirements.
Manages account access for users, including troubleshooting issues.
Leads the appendices process, liaising with functional area teams to coordinate appendices collection and document finalization.
Independently plans and executes assignments.
Serves as a subject matter expert in relevant document management system processes and procedures and electronic publishing requirements.
Interfaces with relevant functional areas/departments to ensure consistent practices and procedures and timely delivery of quality submission-ready documents.
Conducts Document Control system training for new users.
Coordinates with all the applicable manufacturing departments to develop the Management Review.
Reports out the Management review monthly.
Adjusts the Quality Management System (QMS) from the Management Review discussions.
Coordinate and facilitate QMS internal and external audits and tracks associated action plans.
Plan and ensure internal and external audits and manage and track associated corrective and preventive actions process and confirm the effectiveness.
Manages quality data for accuracy and report generation.

Requirements

5+ years of experience in a manufacturing organization is a must. Automotive is a plus.
Demonstrated success in the quality field.
Experience required in implementing ISO 9001 or IATF 16949 standard within a manufacturing company.
Internal auditor (ISO 9001) certification is a plus.
BS in Engineering is a plus.
Strong knowledge of MS Office tools (MS-Project, Word, Excel, PowerPoint and Visio).
Creative, energetic, self-motivated and highly organized.
Strong written and verbal skills as well as organizational and program management capabilities.
Excellent analytical & technical writing abilities and comprehensive understanding of Document Control, root cause analysis, Procedures development, FMEA, control plans, Business plans, internal audits, process audits, ISO 9001, among other organizational processes.

At Lucid, we don’t just welcome diversity - we celebrate it! Lucid Motors is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations.

Notice regarding COVID-19 protocols

At Lucid, we prioritize the health and wellbeing of our employees, families, and friends above all else. In response to the novel Coronavirus all new Lucid employees, whose job will be based in the United States may or may not be required to provide original documentation confirming status as having received the prescribed inoculation (doses). Vaccination requirements are dependent upon location and position, please refer to the job description for more details.

Individuals in positions requiring vaccinations may seek a medical and/or religious exemption from this requirement and may be granted such an accommodation after submitting a formal request to and the subsequent review and approval thereof by our dedicated Covid-19 Response team.

To all recruitment agencies : Lucid Motors does not accept agency resumes. Please do not forward resumes to our careers alias or other Lucid Motors employees. Lucid Motors is not responsible for any fees related to unsolicited resumes.",
Audio Transcriber | Work from Home,Appen,2073870,3172833688,, EMEA ,Remote,20-07-22,200,Part-time,· Entry level,"501-1,000  · it services and it",Consulting,Actively recruiting,,"Listen to audio files, categorize the audio and check the pre-filled transcription. Make edits to the transcription whenever any mistakes are spotted and remove redundant information such as IDs and labels in the transcription text.







Requirements:

Register and pass the project's qualification quiz.
Spend at least 5 hours per week.
Icelandic Speakers living in Iceland







Please follow the steps below on how to apply for the project:

Visit the Appen website using the ""APPLY"" button.
Choose Icelandic (Iceland) as your primary language.
Complete the Registration page and click the Submit Application button to create your account.
Once your account has been created, click the 'All Projects' Tab and look for the project ""Brays-Q3"".
Choose the ""Apply"" button to start your qualification for the project.







Don’t miss the chance to earn extra income working from the comfort of your own home. This is an excellent opportunity for you and your friends!

Work from home with flexible hours
You can work on our projects around your other jobs







A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.







Thank you and we hope to work with you soon!",https://www.linkedin.com/in/ruby-mendoza-rpm-703818214
Validation With Edits | Transcription,Appen,2073870,3172825814,, EMEA ,Remote,20-07-22,,Part-time,· Entry level,"501-1,000  · it services and it",Consulting,Actively recruiting,,"Contribute with data that help build state-of-the-art AI-powered models for the given target languages. We're looking for data annotators to help us review some sentences and modify them where necessary. Join us now!




Project Description:

Listen to audio files, categorize the audio and check the pre-filled transcription. Make edits to the transcription whenever any mistakes are spotted and remove redundant information such as IDs and labels in the transcription text.




Perks:

Flexible hours
Work from home
You can apply/work while you are working full time or studying!




Requirements

Register and pass the project qualification quiz.
Spend at least 5 hours per week.
Strong written and spoken fluency in Polish and English skills
Must be residing in Poland
Stable internet connection
Strong attention to detail




Ready to get started? Sign up using the ""APPLY"" button and begin your journey today!




Ensure you choose Polish as your primary language and Poland as your country of residency. Complete the registration process and receive feedback via email or direct through the Appen Connect platform. You will see the ""Continue"" button on the right side of the ""Unlock More Projects Complete your profile”, and complete the required information to unlock more projects. Once you complete all requirements, make sure you SUBMIT and you will be notified via email after your application is processed. Once your account has passed the initial screening, click the 'All Projects' Tab then look for Project Brays-Q4, and choose the ""Apply"" button to start your qualification for the project.




Thank you and we hope to work with you soon!




A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.",https://www.linkedin.com/in/ruby-mendoza-rpm-703818214
Transcriber | Work from Home,Appen,2073870,3176634904,, EMEA ,Remote,22-07-22,,Full-time,· Entry level,"501-1,000  · it services and it",Consulting,Actively recruiting,,"About Appen

Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally.







Project Task

In this task, you will be given short prompts in Swedish and a list of labels. You will have to read the prompts and make edits whenever mistakes are spotted following the guidelines criteria.







Flexible hours.
Work-from-home opportunity







Requirements

Able to render at least 10 hours per week.
Strong written and spoken fluency in the Swedish language
Must be residing in Sweden







Qualification

Take and pass a language qualification quiz.







Interested? Register using the ""APPLY"" button.







Choose Swedish as your locale language and Sweden as your locale country. Once you complete the registration process, you will be able to receive feedback via email or direct through the Appen Connect platform. If you are interested in also applying for other projects, click the 'All Projects' Tab then you will see the ""Continue"" button on the right side of the ""Unlock More Projects Complete your profile"", complete the required information to unlock more projects. Once you have COMPLETED all the details, make sure to SUBMIT it and you will be notified via email after we process your application.







“A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.”",https://www.linkedin.com/in/ruby-mendoza-rpm-703818214
"Senior QA Engineer, Gigster",Gigster,6582187,3171720649,, EMEA ,Remote,20-07-22,200,Contract,· Mid-Senior level,11-50  · software,Development,Actively recruiting,,"Do you care about quality? Are you the guy at work who is not afraid to ask questions starting with ""What if?""?

And are you looking for a serious opportunity to take your skills to the next level? If so, then keep reading... We are convinced that the best QA engineers are smart individuals who really make sure the team is doing the right things in the right way and the results of what the team has done are what is expected. The ideal candidate will possess driven, strong communication skills are able to understand all the technical aspects and goals of the business, as well as be able to communicate correctly with customers/managers/developers. This is a fantastic entry point into a great and fast-paced organization that enables multiple opportunities to advance and grow your career. We are an organization where you will have unlimited opportunities to grow and develop. We bring our experts together under an innovative IT strategy. Our commitment to you is to provide an engineering culture that inspires collaboration and innovation.




If you are passionate about learning and growing and want to develop into a top Quality Assurance specialist, then this role is for you!




At Gigster, whether working with entrepreneurs to realize 'the next great vision' or with Fortune 500 companies to deliver a big product launch, we build really cool solutions that make a difference! From blockchain to AI/ML to VR and more, Gigster builds enterprise software on cutting-edge technology.




What you will be doing

Design test-cases
Execute in-sprint testing
Participate in Smoke, Regression testing on software releases under your charge
Rise defects for unexpected behavior




What you will NOT be doing

Getting bored with routine regressions
Working on easy and simple tickets such as test login forms.
Working alone and with low project interaction
Analyzing or debugging source code.




What you will learn

How to deliver a high-quality product consistently
How to take your problem-solving skills to the highest while assimilating the knowledge you acquire
How to manage and create high-quality knowledge




Requirements

Able to follow the Software Quality Control process and perform primary testing tasks without direct supervision.
Able to read and understand project documentation, perform review and analysis of functional requirements and specifications
Professional experience in using the following tools: Jira, testrails
Has strong experience in test artifacts creation (test plans, checklists, test cases, test results reports, defects).
Has a strong understanding of different testing types and levels
Has strong knowledge about software testing techniques
Be not only a communicative person but also be able to come to an agreement that satisfies both parties; be able to sell the idea
Stress-resistant, able to escalate critical questions




Nice to have

Experience in test metrics collection
Experience in test automation




Benefits - We don’t call them perks, they’re just part of what makes working at Gigster great.

We are 100% remote and global. Live your best life, wherever that may be, and never lose out on career opportunities because of it.
Flexible work hours. We work asynchronously and don’t care when you’re online, just that you deliver great results.
Dedication to development. We focus on career pathing for each and every one of our employees and help provide training to advance at every stage in your career.
Gigsters for Good. Help nonprofits serve their communities via gigs and also through our funded employee-directed giving programs.
Focus on culture. Coffee chats, happy hours, cooking classes, book clubs, and more!
Swag! Because who doesn’t love swag?
Stipend to help set up your ideal home office
Introductions to thought leaders in the space and webinars on cutting-edge tech hot topics




Gigster is powering the world’s engineering. We provide companies of all sizes with on-demand access to experts in new technology software development. Custom software is becoming essential for every business with global IT spend, yet very few have easy access to high-quality, managed talent when they need it. And as AI continues to change businesses, we’re helping companies through digital transformation, shaping the world of the future.

We are changing the way software is built by empowering independent experts with smarter tools. Gigster takes pride in having an extraordinary global network of developers, designers, and project managers. Increasing levels of standardization in tooling and access to better data about the development process make the creation of custom software ripe for automation and scale, and Gigster will continue to deliver on that need in the marketplace.

We are an equal opportunity employer and value diversity, equity, and inclusion. We believe that the best ideas come from diverse teams, and diverse teams are built intentionally. We want the best people from all around the world and are committed to creating an environment where people are empowered to give voice to their great ideas.",https://www.linkedin.com/in/anareghina-moldovan-salagean-171a95ba
"Senior Backend Engineer, Security (EMEA)",Hotjar,5265084,3180147229,, EMEA ,Remote,22-07-22,81,Full-time,· Mid-Senior level,201-500  · it services and it,Consulting,No,201-500 employees · IT Services and IT Consulting,"Please do not apply for this role if you are not physically located in Europe, Africa, or the Middle East (UTC-1 to UTC+3).




While this is a remote position, we can not consider candidates that are not based in these regions. You can find a detailed explanation in our Recruitment FAQs.




At Hotjar, we’re building Product Experience Insights software for businesses selling online. We make it easy for them to go beyond traditional web analytics and understand what users are really doing on their site. As part of our Engineering team, you'll work on the exciting challenges that come with large-scale web traffic and analytics.




We work in an agile and highly collaborative environment, 100% remotely, and challenge the norms of traditional business leadership. Our focus is on true transparency and respect.




We're looking for enthusiastic and resourceful security engineers who are passionate about building great products. Someone who loves being part of a team, whilst enjoying the autonomous nature of working remotely.




About the job:

You'll work as part of an agile, cross-functional team with other engineers.
You will create production-grade Python code and implement authentication, authorization, and security solutions in our product.
Build the next version of Hotjar’s authentication and authorization layers.
Collaborate with engineers and have involvement in technical decision-making.
Build and take full ownership of components of the Hotjar platform, in addition to building and maintaining dashboards monitoring essential application and business metrics.
Mentor other team members through pair programming, code reviews, and ad-hoc assistance.
Track new browser changes, vulnerabilities, and security updates that can impact the security of our application.
Liaise with our Security Specialist to ensure we address incoming reports from our bug bounty program and meet our security SLAs.




Requirements:

5+ years of background in software engineering.
Experience using Git, Python, and PostgreSQL is a must.
Experience using Nginx, Amazon Web Services, and Kubernetes is a plus.
Experience building OAuth, SAML, SSO, and related solutions is a must.
Experience pentesting, security CTFs, as well as triaging and fixing browser-based vulnerabilities is a plus.
Fluent in English with excellent interpersonal skills.
Desire to work in a respectful, transparent, and collaborative work environment, following Hotjar’s company values, culture, and ways of working.
Will submit to a background check, confidentially processed by our third party.







Compensation Range:




The compensation range for a team member in this role is €80,000 to €105,000 annually where the offer typically falls in the range of €80,000 to €90,000. Our ranges are established after performing market research and the specific compensation amount of the offer will be determined based on relative experience, skills, and equity across the team. We encourage all candidates to read our Recruitment FAQs to further understand our approach to compensation and how we structure our contracts.

In addition to the monetary compensation, we provide all team members with an assortment of unique and popular perks valued at more than €10,000 a year, plus stock options and 40 days of annual leave. These have been chosen to reflect our values and ideals, be it encouraging constant learning with our Personal Development Budget, a great work/life balance with the Holiday Budget, or a happy, healthy team with our Wellbeing Budget.




Hotjar pledges to be a harassment-free and discrimination-free company, committed to equal opportunity. We believe people from different backgrounds, with different identities and experiences, make our product, and our company, better.",
Integrations Engineer - Remote - Global SaaS,Time Doctor,2184443,3170346572,, EMEA ,Remote,19-07-22,113,Full-time,· Entry level,51-200  · internet,Publishing,Actively recruiting,,"About the Role




We’re looking to add a talented Integration Engineer to help us accelerate the future of remote work. This is a unique opportunity to develop your career as an integration engineer during an exciting period of hypergrowth. You’ll work closely with internal revenue-generating teams to design and deliver solutions that will enable Time Doctor to scale and remain the market leader. All of this will be achieved through your ability to both deliver and collaborate with a team of talented engineers and product managers. You’ll have the opportunity to work with a modern tech stack on a product that has traction with significant growth opportunities. This is a full-time position, reporting to the Senior Integrations Engineer.




Your Responsibilities




Create elegant and well-tested code that’s easy to maintain and ensures high performance at scale.




Ensure accuracy and integrity of data and applications through analysis, coding, clear documentation, and problem resolution.




Understand and follow Data Governance and ensure attention to data quality.




Continually learn and research engineering trends to ensure that we’re always using the most appropriate technology available.




Required Skills & Experience




2-3 years of experience with the following technologies:
Microservices
Postgres
Git
Docker
MongoDb
GCP
REST API
At least 2 years of professional back-end experience, ideally working on Node.js applications at scale
Hands-on experience with Distributed Architecture, building RESTful services, XML/JSON, and modern Application Servers
Knowledge of API design, including versioning, isolation and micro-services
Experience with designing and implementing ETL processes and the use of ETL tools
Strong MongoDB experience, ideally with some sharding experience
Experience with customer data platforms (Segment, Listtrack, Salesforce, Hubspot, Mixpanel) is desirable
Knowledge of relational and NoSQL database management systems
Experience with test-driven development and continuous delivery, ideally in a product-focused SaaS environment
Experience working with GCP (GKE, Cloud Run, App Engine, Cloud SQL, BigQuery), Firebase, Redis, and Heroku
Creative thinker with a natural interest in finding solutions to new problems.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.




About Us




Our vision is to be the most trusted time-tracking and productivity application for remote teams. We help companies and employees do their best work. We are looking for people passionate about spreading the practice of remote work with all of the benefits that come with it. We believe that office life is antiquated, that geography should not limit your career prospects, and that people should be able to work from wherever they want.

We’re a diverse global team of over 130 people working 100% remotely in over 30 different countries. We’re looking for innovative team members ready to help us modernize remote work.",https://www.linkedin.com/in/emmanuel-azor-9970031a9
Senior Python Security Engineer (EMEA),Hotjar,5265084,3180142725,, EMEA ,Remote,22-07-22,139,Full-time,· Mid-Senior level,201-500  · it services and it,Consulting,No,201-500 employees · IT Services and IT Consulting,"Please do not apply for this role if you are not physically located in Europe, Africa, or the Middle East (UTC-1 to UTC+3).




While this is a remote position, we can not consider candidates that are not based in these regions. You can find a detailed explanation in our Recruitment FAQs.




At Hotjar, we’re building Product Experience Insights software for businesses selling online. We make it easy for them to go beyond traditional web analytics and understand what users are really doing on their site. As part of our Engineering team, you'll work on the exciting challenges that come with large-scale web traffic and analytics.




We work in an agile and highly collaborative environment, 100% remotely, and challenge the norms of traditional business leadership. Our focus is on true transparency and respect.




We're looking for enthusiastic and resourceful security engineers who are passionate about building great products. Someone who loves being part of a team, whilst enjoying the autonomous nature of working remotely.




About the job:

You'll work as part of an agile, cross-functional team with other engineers.
You will create production-grade Python code and implement authentication, authorization, and security solutions in our product.
Build the next version of Hotjar’s authentication and authorization layers.
Collaborate with engineers and have involvement in technical decision-making.
Build and take full ownership of components of the Hotjar platform, in addition to building and maintaining dashboards monitoring essential application and business metrics.
Mentor other team members through pair programming, code reviews, and ad-hoc assistance.
Track new browser changes, vulnerabilities, and security updates that can impact the security of our application.
Liaise with our Security Specialist to ensure we address incoming reports from our bug bounty program and meet our security SLAs.




Requirements:

5+ years of background in software engineering.
Experience using Git, Python, and PostgreSQL is a must.
Experience using Nginx, Amazon Web Services, and Kubernetes is a plus.
Experience building OAuth, SAML, SSO, and related solutions is a must.
Experience pentesting, security CTFs, as well as triaging and fixing browser-based vulnerabilities is a plus.
Fluent in English with excellent interpersonal skills.
Desire to work in a respectful, transparent, and collaborative work environment, following Hotjar’s company values, culture, and ways of working.
Will submit to a background check, confidentially processed by our third party.







Compensation Range:




The compensation range for a team member in this role is €80,000 to €105,000 annually where the offer typically falls in the range of €80,000 to €90,000. Our ranges are established after performing market research and the specific compensation amount of the offer will be determined based on relative experience, skills, and equity across the team. We encourage all candidates to read our Recruitment FAQs to further understand our approach to compensation and how we structure our contracts.

In addition to the monetary compensation, we provide all team members with an assortment of unique and popular perks valued at more than €10,000 a year, plus stock options and 40 days of annual leave. These have been chosen to reflect our values and ideals, be it encouraging constant learning with our Personal Development Budget, a great work/life balance with the Holiday Budget, or a happy, healthy team with our Wellbeing Budget.




Hotjar pledges to be a harassment-free and discrimination-free company, committed to equal opportunity. We believe people from different backgrounds, with different identities and experiences, make our product, and our company, better.",
Transcription Project for English Speakers in Poland,Appen,2073870,3174905000,, EMEA ,Remote,21-07-22,150,Part-time,· Entry level,"501-1,000  · it services and it",Consulting,Actively recruiting,,"Help us to validate data that contribute to the development of speech technology.







We are working on the improvement of speech recognition technology, and we are looking for English speakers in 17 different countries who would like to participate in this project.







Project Task:

In this project, you will listen to audio files, check that they match the pre-filled transcription, and classify them under different categories.

Flexible hours.
The project will last a maximum of 2 weeks.




Project Requirements:

You must be bilingual in English as the prompts you'll listen to will be in English as well as the project guidelines and other related materials.
You must be from Poland
Work at least 5 hours per week.




Please follow the steps below on how to apply for the project:

Visit the Appen website using the link below:
Choose English as your primary language, Poland as your locale dialect, and Poland as your country of residency.
Complete the Registration page and click the Submit Application button to create your account
Once your account has been created, click the 'All Projects' Tab and look for project ""Rockcastle-VAL"".
Choose the ""Apply"" button to start your qualification for the project.







Don’t miss the chance to earn extra income working from the comfort of your own home. This is an excellent opportunity for you and your friends!

Work from home with flexible hours
You can work on our projects around your other jobs







A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.







Thank you and we hope to work with you soon!",https://www.linkedin.com/in/ruby-mendoza-rpm-703818214
Remote Opportunities in Saudi Arabia,Appen,2073870,3174929795," Jeddah, Makkah", Saudi Arabia ,Remote,22-07-22,200,Part-time,· Entry level,"501-1,000  · it services and it",Consulting,Actively recruiting,,"Help improve smart home technology in this fascinating project that requires you to be creative and put yourself in the shoes of a smart home user! This is the project for you!










Requirements:

Must be a resident of the country you applied for
Ability to work independently with minimal supervision
Possess a high-speed internet connection (Cable modem, Fiber, DSL, etc.)
Fluency on the Arabic of the project you applied for










Please follow the steps below on how to apply for the project:




1. Click Apply button to visit Appen website




2. Choose Arabic (Saudi Arabia) as your primary language.




3. Complete the Registration page and click the Submit Application button to create your account




4. Once your account has been created, click the 'All Projects' Tab and look for this project.




5. Choose the ""Apply"" button to start your qualification to the project.










Don’t miss the chance to earn extra income working from the comfort of your own home. This is a great opportunity for you and your friends!

• Work from home with flexible hours

• You can work on our projects around your other jobs

• Appen is ranked as top 1 out of 100 companies offering remote jobs by Flexjobs.com










A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.










Thank you and we hope to work with you soon!",https://www.linkedin.com/in/lourdes-escaros-5894191b8
